"location","time","knockdowncount","distance"
"N1B","15m",0,"1m"
"N1M","15m",0,"1m"
"N1T","15m",0,"1m"
"E1B","15m",0,"1m"
"E1M","15m",1,"1m"
"E1T","15m",0,"1m"
"S1B","15m",0,"1m"
"S1M","15m",0,"1m"
"S1T","15m",0,"1m"
"W1B","15m",0,"1m"
"W1M","15m",0,"1m"
"W1T","15m",0,"1m"
"N1B","30m",0,"1m"
"N1M","30m",0,"1m"
"N1T","30m",1,"1m"
"E1B","30m",0,"1m"
"E1M","30m",2,"1m"
"E1T","30m",1,"1m"
"S1B","30m",0,"1m"
"S1M","30m",0,"1m"
"S1T","30m",0,"1m"
"W1B","30m",0,"1m"
"W1M","30m",6,"1m"
"W1T","30m",0,"1m"
"N1B","45m",1,"1m"
"N1M","45m",1,"1m"
"N1T","45m",0,"1m"
"E1B","45m",0,"1m"
"E1M","45m",2,"1m"
"E1T","45m",1,"1m"
"S1B","45m",0,"1m"
"S1M","45m",0,"1m"
"S1T","45m",0,"1m"
"W1B","45m",0,"1m"
"W1M","45m",25,"1m"
"W1T","45m",0,"1m"
"N1B","1hr",1,"1m"
"N1M","1hr",1,"1m"
"N1T","1hr",0,"1m"
"E1B","1hr",0,"1m"
"E1M","1hr",2,"1m"
"E1T","1hr",1,"1m"
"S1B","1hr",0,"1m"
"S1M","1hr",0,"1m"
"S1T","1hr",0,"1m"
"W1B","1hr",0,"1m"
"W1M","1hr",25,"1m"
"W1T","1hr",0,"1m"
"N1B","2hr",1,"1m"
"N1M","2hr",4,"1m"
"N1T","2hr",1,"1m"
"E1B","2hr",0,"1m"
"E1M","2hr",12,"1m"
"E1T","2hr",1,"1m"
"S1B","2hr",0,"1m"
"S1M","2hr",6,"1m"
"S1T","2hr",1,"1m"
"W1B","2hr",0,"1m"
"W1M","2hr",25,"1m"
"W1T","2hr",0,"1m"
"N1B","4hr",1,"1m"
"N1M","4hr",5,"1m"
"N1T","4hr",2,"1m"
"E1B","4hr",0,"1m"
"E1M","4hr",14,"1m"
"E1T","4hr",1,"1m"
"S1B","4hr",0,"1m"
"S1M","4hr",6,"1m"
"S1T","4hr",2,"1m"
"W1B","4hr",0,"1m"
"W1M","4hr",25,"1m"
"W1T","4hr",0,"1m"
"N1B","24hr",23,"1m"
"N1M","24hr",25,"1m"
"N1T","24hr",25,"1m"
"E1B","24hr",10,"1m"
"E1M","24hr",25,"1m"
"E1T","24hr",25,"1m"
"S1B","24hr",24,"1m"
"S1M","24hr",25,"1m"
"S1T","24hr",25,"1m"
"W1B","24hr",21,"1m"
"W1M","24hr",25,"1m"
"W1T","24hr",25,"1m"
"N2B","15m",0,"2m"
"N2M","15m",0,"2m"
"N2T","15m",0,"2m"
"E2B","15m",0,"2m"
"E2M","15m",0,"2m"
"E2T","15m",0,"2m"
"S2B","15m",0,"2m"
"S2M","15m",0,"2m"
"S2T","15m",0,"2m"
"W2B","15m",0,"2m"
"W2M","15m",0,"2m"
"W2T","15m",0,"2m"
"N2B","30m",0,"2m"
"N2M","30m",0,"2m"
"N2T","30m",0,"2m"
"E2B","30m",0,"2m"
"E2M","30m",0,"2m"
"E2T","30m",1,"2m"
"S2B","30m",0,"2m"
"S2M","30m",0,"2m"
"S2T","30m",0,"2m"
"W2B","30m",0,"2m"
"W2M","30m",0,"2m"
"W2T","30m",0,"2m"
"N2B","45m",0,"2m"
"N2M","45m",0,"2m"
"N2T","45m",0,"2m"
"E2B","45m",0,"2m"
"E2M","45m",0,"2m"
"E2T","45m",1,"2m"
"S2B","45m",0,"2m"
"S2M","45m",0,"2m"
"S2T","45m",0,"2m"
"W2B","45m",1,"2m"
"W2M","45m",0,"2m"
"W2T","45m",0,"2m"
"N2B","1hr",0,"2m"
"N2M","1hr",0,"2m"
"N2T","1hr",0,"2m"
"E2B","1hr",0,"2m"
"E2M","1hr",0,"2m"
"E2T","1hr",1,"2m"
"S2B","1hr",0,"2m"
"S2M","1hr",0,"2m"
"S2T","1hr",0,"2m"
"W2B","1hr",1,"2m"
"W2M","1hr",0,"2m"
"W2T","1hr",0,"2m"
"N2B","2hr",0,"2m"
"N2M","2hr",0,"2m"
"N2T","2hr",0,"2m"
"E2B","2hr",0,"2m"
"E2M","2hr",0,"2m"
"E2T","2hr",2,"2m"
"S2B","2hr",0,"2m"
"S2M","2hr",0,"2m"
"S2T","2hr",0,"2m"
"W2B","2hr",2,"2m"
"W2M","2hr",0,"2m"
"W2T","2hr",0,"2m"
"N2B","4hr",0,"2m"
"N2M","4hr",0,"2m"
"N2T","4hr",0,"2m"
"E2B","4hr",0,"2m"
"E2M","4hr",0,"2m"
"E2T","4hr",3,"2m"
"S2B","4hr",0,"2m"
"S2M","4hr",0,"2m"
"S2T","4hr",0,"2m"
"W2B","4hr",2,"2m"
"W2M","4hr",0,"2m"
"W2T","4hr",0,"2m"
"N2B","24hr",19,"2m"
"N2M","24hr",23,"2m"
"N2T","24hr",25,"2m"
"E2B","24hr",21,"2m"
"E2M","24hr",23,"2m"
"E2T","24hr",25,"2m"
"S2B","24hr",20,"2m"
"S2M","24hr",25,"2m"
"S2T","24hr",25,"2m"
"W2B","24hr",24,"2m"
"W2M","24hr",24,"2m"
"W2T","24hr",25,"2m"
"N3B","15m",0,"3m"
"N3M","15m",0,"3m"
"N3T","15m",0,"3m"
"E3B","15m",0,"3m"
"E3M","15m",0,"3m"
"E3T","15m",0,"3m"
"S3B","15m",0,"3m"
"S3M","15m",0,"3m"
"S3T","15m",0,"3m"
"W3B","15m",0,"3m"
"W3M","15m",0,"3m"
"W3T","15m",0,"3m"
"N3B","30m",0,"3m"
"N3M","30m",0,"3m"
"N3T","30m",0,"3m"
"E3B","30m",0,"3m"
"E3M","30m",0,"3m"
"E3T","30m",0,"3m"
"S3B","30m",0,"3m"
"S3M","30m",0,"3m"
"S3T","30m",0,"3m"
"W3B","30m",0,"3m"
"W3M","30m",0,"3m"
"W3T","30m",0,"3m"
"N3B","45m",0,"3m"
"N3M","45m",0,"3m"
"N3T","45m",0,"3m"
"E3B","45m",0,"3m"
"E3M","45m",0,"3m"
"E3T","45m",0,"3m"
"S3B","45m",0,"3m"
"S3M","45m",0,"3m"
"S3T","45m",0,"3m"
"W3B","45m",0,"3m"
"W3M","45m",0,"3m"
"W3T","45m",0,"3m"
"N3B","1hr",0,"3m"
"N3M","1hr",0,"3m"
"N3T","1hr",0,"3m"
"E3B","1hr",0,"3m"
"E3M","1hr",0,"3m"
"E3T","1hr",0,"3m"
"S3B","1hr",0,"3m"
"S3M","1hr",0,"3m"
"S3T","1hr",0,"3m"
"W3B","1hr",0,"3m"
"W3M","1hr",0,"3m"
"W3T","1hr",0,"3m"
"N3B","2hr",0,"3m"
"N3M","2hr",0,"3m"
"N3T","2hr",0,"3m"
"E3B","2hr",0,"3m"
"E3M","2hr",0,"3m"
"E3T","2hr",0,"3m"
"S3B","2hr",0,"3m"
"S3M","2hr",0,"3m"
"S3T","2hr",1,"3m"
"W3B","2hr",0,"3m"
"W3M","2hr",0,"3m"
"W3T","2hr",0,"3m"
"N3B","4hr",0,"3m"
"N3M","4hr",0,"3m"
"N3T","4hr",0,"3m"
"E3B","4hr",0,"3m"
"E3M","4hr",1,"3m"
"E3T","4hr",0,"3m"
"S3B","4hr",0,"3m"
"S3M","4hr",0,"3m"
"S3T","4hr",1,"3m"
"W3B","4hr",0,"3m"
"W3M","4hr",0,"3m"
"W3T","4hr",0,"3m"
"N3B","24hr",18,"3m"
"N3M","24hr",22,"3m"
"N3T","24hr",25,"3m"
"E3B","24hr",21,"3m"
"E3M","24hr",19,"3m"
"E3T","24hr",18,"3m"
"S3B","24hr",20,"3m"
"S3M","24hr",25,"3m"
"S3T","24hr",23,"3m"
"W3B","24hr",22,"3m"
"W3M","24hr",25,"3m"
"W3T","24hr",25,"3m"
"N4B","15m",0,"4m"
"N4M","15m",0,"4m"
"N4T","15m",0,"4m"
"E4B","15m",0,"4m"
"E4M","15m",0,"4m"
"E4T","15m",0,"4m"
"S4B","15m",0,"4m"
"S4M","15m",0,"4m"
"S4T","15m",0,"4m"
"W4B","15m",0,"4m"
"W4M","15m",0,"4m"
"W4T","15m",0,"4m"
"N4B","30m",0,"4m"
"N4M","30m",0,"4m"
"N4T","30m",0,"4m"
"E4B","30m",0,"4m"
"E4M","30m",0,"4m"
"E4T","30m",0,"4m"
"S4B","30m",0,"4m"
"S4M","30m",0,"4m"
"S4T","30m",0,"4m"
"W4B","30m",0,"4m"
"W4M","30m",0,"4m"
"W4T","30m",0,"4m"
