FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,mph,mph,mph,°F,°F,%,°F,°F,°F,inHg,ft,ft
2021-07-01 10:58:00,678452280,202,202,0.0,0.0,0.0,90.0,90.0,68.5,106.7,78.2,81.0,29.93,-16,2370
2021-07-01 10:58:30,678452310,182,182,0.0,0.0,0.0,88.2,88.2,76.6,105.4,79.9,81.9,29.93,-20,2285
2021-07-01 10:59:00,678452340,177,177,0.0,0.0,0.0,84.9,84.9,84.8,100.0,79.8,81.0,29.94,-25,2075
2021-07-01 10:59:30,678452370,174,174,0.0,0.0,0.0,85.8,85.8,82.5,101.7,79.8,81.3,29.93,-20,2130
2021-07-01 11:00:00,678452400,175,175,1.1,0.1,-1.1,84.2,84.2,84.6,97.9,79.0,80.2,29.94,-25,2020
2021-07-01 11:00:30,678452430,175,175,1.6,0.2,-1.6,82.2,82.2,88.2,93.0,78.4,79.3,29.93,-21,1889
2021-07-01 11:01:00,678452460,174,174,0.0,0.0,0.0,81.7,81.7,89.5,92.1,78.4,79.2,29.93,-20,1862
2021-07-01 11:01:30,678452490,174,174,0.0,0.0,0.0,83.9,83.8,85.2,97.0,79.0,80.2,29.93,-20,2002
2021-07-01 11:02:00,678452520,173,173,0.0,0.0,0.0,84.4,84.4,83.4,97.9,78.9,80.2,29.93,-20,2032
2021-07-01 11:02:30,678452550,174,174,0.0,0.0,0.0,83.7,83.7,85.4,96.4,78.8,80.1,29.94,-21,1983
2021-07-01 11:03:00,678452580,174,174,0.0,0.0,0.0,83.1,83.1,85.9,95.0,78.4,79.5,29.93,-20,1948
2021-07-01 11:03:30,678452610,174,174,0.0,0.0,0.0,84.2,84.2,83.3,97.3,78.6,80.1,29.93,-20,2015
2021-07-01 11:04:00,678452640,174,174,0.0,0.0,0.0,83.5,83.5,86.1,96.1,78.9,79.9,29.93,-20,1975
2021-07-01 11:04:30,678452670,174,174,0.0,0.0,0.0,84.1,84.0,84.0,97.2,78.7,79.9,29.93,-20,2010
2021-07-01 11:05:00,678452700,174,174,0.0,0.0,0.0,84.2,84.2,83.7,97.5,78.8,80.1,29.93,-21,2020
2021-07-01 11:05:30,678452730,174,174,0.0,0.0,0.0,83.7,83.7,84.8,96.3,78.6,79.9,29.93,-20,1988
2021-07-01 11:06:00,678452760,174,174,0.0,0.0,0.0,84.0,84.0,85.8,97.7,79.3,80.4,29.93,-20,2015
2021-07-01 11:06:30,678452790,173,173,0.0,0.0,0.0,84.6,84.6,83.4,98.4,79.0,80.2,29.94,-25,2037
2021-07-01 11:07:00,678452820,174,174,0.0,0.0,0.0,84.3,84.4,83.6,97.9,78.8,80.2,29.93,-20,2030
2021-07-01 11:07:30,678452850,174,174,0.0,0.0,0.0,83.7,83.7,84.0,96.1,78.4,79.7,29.93,-20,1985
2021-07-01 11:08:00,678452880,173,173,0.0,0.0,0.0,84.3,84.4,83.0,97.7,78.6,80.1,29.94,-21,2022
2021-07-01 11:08:30,678452910,173,173,1.5,0.2,-1.5,82.8,82.8,86.8,94.1,78.4,79.5,29.94,-25,1921
2021-07-01 11:09:00,678452940,174,174,0.9,0.1,-0.9,83.2,83.3,84.5,95.0,78.1,79.3,29.94,-21,1946
2021-07-01 11:09:30,678452970,172,172,0.0,0.0,0.0,84.3,84.2,81.9,96.6,78.1,79.5,29.93,-21,2012
2021-07-01 11:10:00,678453000,171,171,0.0,0.0,0.0,84.1,84.2,83.5,97.3,78.6,80.1,29.93,-20,2012
2021-07-01 11:10:30,678453030,175,175,0.0,0.0,0.0,83.4,83.5,84.6,95.7,78.3,79.5,29.94,-25,1960
2021-07-01 11:11:00,678453060,175,175,0.0,0.0,0.0,83.4,83.5,84.0,95.5,78.1,79.3,29.94,-28,1956
2021-07-01 11:11:30,678453090,174,174,0.0,0.0,0.0,82.8,82.8,86.0,93.9,78.2,79.3,29.93,-20,1926
2021-07-01 11:12:00,678453120,174,174,0.9,0.1,-0.9,82.1,82.0,87.5,92.1,78.0,79.0,29.94,-28,1869
2021-07-01 11:12:30,678453150,174,174,1.0,0.1,-1.0,81.3,81.3,88.5,90.9,77.6,78.4,29.94,-25,1815
2021-07-01 11:13:00,678453180,175,175,1.0,0.1,-1.0,81.7,81.7,87.7,91.6,77.7,78.8,29.93,-20,1854
2021-07-01 11:13:30,678453210,174,174,0.0,0.0,0.0,82.5,82.6,87.6,93.9,78.5,79.5,29.93,-16,1919
2021-07-01 11:14:00,678453240,173,173,0.0,0.0,0.0,83.6,83.7,85.1,96.3,78.7,79.9,29.94,-21,1980
2021-07-01 11:14:30,678453270,174,174,0.0,0.0,0.0,83.9,83.8,83.5,96.3,78.4,79.7,29.94,-30,1983
2021-07-01 11:15:00,678453300,174,174,0.0,0.0,0.0,83.7,83.7,84.3,96.1,78.4,79.7,29.93,-20,1980
2021-07-01 11:15:30,678453330,174,174,0.0,0.0,0.0,83.5,83.5,84.0,95.5,78.2,79.5,29.94,-21,1968
2021-07-01 11:16:00,678453360,174,174,0.0,0.0,0.0,83.8,83.8,84.5,96.6,78.6,79.9,29.93,-20,1988
2021-07-01 11:16:30,678453390,174,174,0.0,0.0,0.0,84.0,84.0,83.2,96.6,78.4,79.9,29.94,-21,2000
2021-07-01 11:17:00,678453420,174,174,0.0,0.0,0.0,85.1,85.1,82.2,99.5,79.0,80.4,29.94,-21,2075
2021-07-01 11:17:30,678453450,174,174,0.0,0.0,0.0,86.1,86.2,79.9,101.5,79.1,80.8,29.93,-20,2145
2021-07-01 11:18:00,678453480,174,174,0.0,0.0,0.0,86.6,86.5,80.0,102.6,79.7,81.3,29.94,-25,2175
2021-07-01 11:18:30,678453510,173,173,0.0,0.0,0.0,86.1,86.0,82.5,102.2,80.1,81.5,29.94,-28,2147
2021-07-01 11:19:00,678453540,173,173,0.0,0.0,0.0,87.0,87.1,80.0,104.0,80.1,81.7,29.93,-21,2210
2021-07-01 11:19:30,678453570,174,174,0.0,0.0,0.0,86.5,86.5,81.1,103.3,80.0,81.5,29.94,-21,2175
2021-07-01 11:20:00,678453600,174,174,0.0,0.0,0.0,86.2,86.2,81.6,102.4,79.9,81.3,29.93,-20,2162
2021-07-01 11:20:30,678453630,174,174,1.0,0.1,-1.0,85.2,85.3,81.2,99.5,78.8,80.2,29.94,-21,2077
2021-07-01 11:21:00,678453660,175,175,1.5,0.1,-1.5,84.6,84.6,82.1,97.9,78.5,79.9,29.94,-25,2032
2021-07-01 11:21:30,678453690,174,174,0.0,0.0,0.0,82.9,82.9,84.7,94.1,77.8,79.0,29.94,-25,1921
2021-07-01 11:22:00,678453720,174,174,1.8,0.2,-1.7,83.7,83.7,84.0,96.1,78.3,79.5,29.94,-25,1975
2021-07-01 11:22:30,678453750,173,173,0.8,0.1,-0.8,82.1,82.0,86.7,91.9,77.7,78.8,29.93,-20,1877
2021-07-01 11:23:00,678453780,173,173,0.0,0.0,0.0,82.4,82.4,85.7,92.7,77.6,79.0,29.93,-20,1894
2021-07-01 11:23:30,678453810,175,175,0.0,0.0,0.0,84.2,84.2,82.1,96.8,78.2,79.7,29.93,-21,2010
2021-07-01 11:24:00,678453840,175,175,0.0,0.0,0.0,84.2,84.2,82.4,97.0,78.3,79.7,29.94,-25,2007
2021-07-01 11:24:30,678453870,173,173,0.0,0.0,0.0,84.9,84.9,80.8,98.4,78.3,79.9,29.94,-25,2050
2021-07-01 11:25:00,678453900,174,174,0.0,0.0,0.0,85.1,85.1,80.4,98.8,78.4,80.1,29.94,-25,2065
2021-07-01 11:25:30,678453930,175,175,0.0,0.0,0.0,84.6,84.6,80.7,97.2,78.0,79.7,29.94,-25,2030
2021-07-01 11:26:00,678453960,175,175,0.0,0.0,0.0,84.4,84.4,81.2,97.0,78.0,79.5,29.93,-16,2022
2021-07-01 11:26:30,678453990,174,174,0.0,0.0,0.0,83.7,83.7,82.9,95.5,77.9,79.3,29.94,-21,1973
2021-07-01 11:27:00,678454020,174,174,0.0,0.0,0.0,84.9,84.9,82.2,99.0,78.8,80.2,29.93,-20,2062
2021-07-01 11:27:30,678454050,175,175,0.0,0.0,0.0,85.6,85.6,79.6,99.9,78.5,80.2,29.94,-21,2102
2021-07-01 11:28:00,678454080,175,175,0.0,0.0,0.0,84.1,84.0,82.4,96.4,78.1,79.5,29.93,-20,2000
2021-07-01 11:28:30,678454110,174,174,0.0,0.0,0.0,84.7,84.7,81.2,98.1,78.3,79.9,29.93,-20,2045
2021-07-01 11:29:00,678454140,175,175,0.0,0.0,0.0,85.8,85.8,79.2,100.2,78.6,80.2,29.93,-20,2117
2021-07-01 11:29:30,678454170,175,175,0.0,0.0,0.0,85.2,85.1,78.9,98.1,77.9,79.7,29.94,-25,2062
2021-07-01 11:30:00,678454200,174,174,0.0,0.0,0.0,83.8,83.8,82.3,95.9,77.8,79.3,29.93,-20,1980
2021-07-01 11:30:30,678454230,174,174,0.0,0.0,0.0,85.3,85.3,79.9,99.0,78.4,80.1,29.94,-21,2080
2021-07-01 11:31:00,678454260,174,174,1.1,0.1,-1.1,84.1,84.0,82.8,96.6,78.2,79.7,29.93,-20,2005
2021-07-01 11:31:30,678454290,174,174,0.0,0.0,0.0,84.3,84.2,82.1,96.8,78.2,79.7,29.94,-25,2007
2021-07-01 11:32:00,678454320,173,173,0.0,0.0,0.0,86.6,86.7,78.8,102.4,79.3,81.1,29.94,-25,2175
2021-07-01 11:32:30,678454350,173,173,0.0,0.0,0.0,86.0,86.0,79.7,100.9,79.0,80.6,29.93,-20,2135
2021-07-01 11:33:00,678454380,174,174,0.0,0.0,0.0,84.3,84.2,83.7,97.5,78.8,80.1,29.94,-21,2022
2021-07-01 11:33:30,678454410,176,176,0.0,0.0,0.0,84.1,84.0,83.0,96.6,78.3,79.7,29.94,-21,2002
2021-07-01 11:34:00,678454440,175,175,0.9,0.1,-0.9,82.1,82.2,85.9,92.3,77.5,78.8,29.93,-20,1877
2021-07-01 11:34:30,678454470,174,174,0.0,0.0,0.0,82.9,82.9,84.8,94.1,77.9,79.2,29.93,-20,1928
2021-07-01 11:35:00,678454500,177,177,0.0,0.0,0.0,83.1,83.1,85.5,94.8,78.3,79.5,29.93,-20,1946
2021-07-01 11:35:30,678454530,177,177,0.0,0.0,0.0,82.3,82.4,85.6,92.7,77.6,78.8,29.93,-20,1889
2021-07-01 11:36:00,678454560,175,175,0.0,0.0,0.0,82.8,82.8,84.5,93.4,77.6,79.0,29.93,-21,1911
2021-07-01 11:36:30,678454590,174,174,0.0,0.0,0.0,83.9,83.8,83.4,96.3,78.3,79.7,29.94,-21,1990
2021-07-01 11:37:00,678454620,174,174,0.0,0.0,0.0,83.2,83.3,83.0,94.5,77.5,79.0,29.94,-21,1938
2021-07-01 11:37:30,678454650,175,175,0.0,0.0,0.0,82.7,82.6,83.9,92.7,77.3,78.6,29.94,-28,1894
2021-07-01 11:38:00,678454680,174,174,0.0,0.0,0.0,83.3,83.3,83.2,94.5,77.7,79.2,29.93,-21,1943
2021-07-01 11:38:30,678454710,174,174,0.0,0.0,0.0,82.6,82.6,84.6,93.0,77.5,78.8,29.94,-25,1901
2021-07-01 11:39:00,678454740,173,173,0.0,0.0,0.0,83.5,83.5,83.9,95.4,78.1,79.3,29.93,-21,1963
2021-07-01 11:39:30,678454770,174,174,0.9,0.1,-0.9,83.9,83.8,82.3,95.9,77.9,79.3,29.94,-25,1978
2021-07-01 11:40:00,678454800,176,176,0.0,0.0,0.0,84.0,84.0,82.4,96.4,78.0,79.5,29.94,-25,1988
2021-07-01 11:40:30,678454830,175,175,0.0,0.0,0.0,84.6,84.6,81.2,97.5,78.2,79.9,29.93,-21,2032
2021-07-01 11:41:00,678454860,173,173,0.0,0.0,0.0,84.5,84.6,80.4,97.2,77.7,79.5,29.93,-20,2022
2021-07-01 11:41:30,678454890,174,174,0.0,0.0,0.0,83.9,83.8,82.3,95.9,77.9,79.3,29.94,-28,1978
2021-07-01 11:42:00,678454920,174,174,1.1,0.1,-1.0,83.6,83.7,83.4,95.7,78.1,79.5,29.93,-20,1973
2021-07-01 11:42:30,678454950,174,174,0.0,0.0,0.0,84.3,84.2,81.4,96.4,78.0,79.5,29.93,-20,2010
2021-07-01 11:43:00,678454980,173,173,0.0,0.0,0.0,84.7,84.7,82.2,98.4,78.6,80.1,29.93,-20,2047
2021-07-01 11:43:30,678455010,172,172,0.7,0.1,-0.7,84.4,84.4,81.0,97.0,77.9,79.5,29.94,-21,2015
2021-07-01 11:44:00,678455040,173,173,0.0,0.0,0.0,84.5,84.6,79.8,97.0,77.6,79.3,29.94,-21,2020
2021-07-01 11:44:30,678455070,174,174,0.0,0.0,0.0,83.8,83.8,82.1,95.7,77.7,79.3,29.93,-20,1978
2021-07-01 11:45:00,678455100,174,174,0.0,0.0,0.0,83.8,83.8,82.7,95.9,77.9,79.3,29.93,-20,1985
2021-07-01 11:45:30,678455130,174,174,0.0,0.0,0.0,84.9,84.9,80.4,98.2,78.2,79.9,29.94,-21,2050
2021-07-01 11:46:00,678455160,174,174,0.0,0.0,0.0,85.5,85.5,79.5,99.3,78.4,80.1,29.94,-28,2085
2021-07-01 11:46:30,678455190,174,174,0.0,0.0,0.0,84.2,84.2,83.0,97.2,78.5,79.9,29.94,-25,2012
2021-07-01 11:47:00,678455220,174,174,0.0,0.0,0.0,85.5,85.5,80.6,99.9,78.9,80.4,29.93,-20,2105
2021-07-01 11:47:30,678455250,174,174,0.0,0.0,0.0,85.7,85.6,81.7,100.8,79.4,80.8,29.94,-28,2112
2021-07-01 11:48:00,678455280,175,175,0.0,0.0,0.0,86.3,86.4,79.5,101.8,79.2,80.8,29.94,-25,2150
2021-07-01 11:48:30,678455310,175,175,0.0,0.0,0.0,85.9,86.0,79.8,101.1,78.9,80.6,29.94,-21,2130
2021-07-01 11:49:00,678455340,174,174,0.0,0.0,0.0,84.3,84.4,82.0,97.2,78.2,79.7,29.94,-21,2017
2021-07-01 11:49:30,678455370,174,174,0.0,0.0,0.0,85.9,86.0,78.6,100.4,78.5,80.2,29.94,-21,2125
